Area,Year,Quarter,Overall_hpi,Overall_YoY,Low_hpi,Low_YoY,Mid_hpi,Mid_YoY,High_hpi,High_YoY
"Amarillo",2004,1,100.000000000,,,,,,,
"Amarillo",2004,2,101.336392453,,,,,,,
"Amarillo",2004,3,101.681335934,,,,,,,
"Amarillo",2004,4,103.181833577,,,,,,,
"Amarillo",2005,1,104.128278047,0.041282780,,,,,,
"Amarillo",2005,2,106.776622305,0.053684858,,,,,,
"Amarillo",2005,3,108.113813862,0.063261146,,,,,,
"Amarillo",2005,4,109.107525138,0.057429601,,,,,,
"Amarillo",2006,1,108.108960683,0.038228641,,,,,,
"Amarillo",2006,2,111.419584233,0.043482944,,,,,,
"Amarillo",2006,3,112.074621339,0.036635535,,,,,,
"Amarillo",2006,4,112.142296921,0.027814504,,,,,,
"Amarillo",2007,1,112.921738077,0.044517839,,,,,,
"Amarillo",2007,2,114.711713474,0.029547132,,,,,,
"Amarillo",2007,3,116.126641518,0.036154663,,,,,,
"Amarillo",2007,4,113.099823192,0.008538493,,,,,,
"Amarillo",2008,1,113.973898124,0.009317604,,,,,,
"Amarillo",2008,2,115.476702575,0.006668796,,,,,,
"Amarillo",2008,3,115.688116130,-0.003776268,,,,,,
"Amarillo",2008,4,113.231399403,0.001163363,,,,,,
"Amarillo",2009,1,112.952708483,-0.008959855,,,,,,
"Amarillo",2009,2,114.065612413,-0.012219695,,,,,,
"Amarillo",2009,3,113.600193006,-0.018047861,,,,,,
"Amarillo",2009,4,115.386910502,0.019036337,,,,,,
"Amarillo",2010,1,112.781990164,-0.001511414,,,,,,
"Amarillo",2010,2,114.543782091,0.004192058,,,,,,
"Amarillo",2010,3,114.869377850,0.011172382,,,,,,
"Amarillo",2010,4,113.496558197,-0.016382727,,,,,,
"Amarillo",2011,1,112.980640405,0.001761364,,,,,,
"Amarillo",2011,2,113.859881638,-0.005970646,,,,,,
"Amarillo",2011,3,114.011966819,-0.007464226,,,,,,
"Amarillo",2011,4,112.511590807,-0.008678389,,,,,,
"Amarillo",2012,1,114.691350688,0.015141623,,,,,,
"Amarillo",2012,2,115.253233499,0.012237425,,,,,,
"Amarillo",2012,3,115.903705509,0.016592457,,,,,,
"Amarillo",2012,4,115.671237076,0.028082851,,,,,,
"Amarillo",2013,1,116.775390358,0.018170852,,,,,,
"Amarillo",2013,2,118.339532082,0.026778412,,,,,,
"Amarillo",2013,3,118.756970050,0.024617543,,,,,,
"Amarillo",2013,4,118.439021318,0.023928024,,,,,,
"Amarillo",2014,1,118.694345767,0.016432875,,,,,,
"Amarillo",2014,2,121.819519686,0.029406805,,,,,,
"Amarillo",2014,3,122.384738870,0.030547839,,,,,,
"Amarillo",2014,4,120.297440980,0.015690940,,,,,,
"Amarillo",2015,1,122.346477318,0.030769212,,,,,,
"Amarillo",2015,2,124.336570391,0.020662129,,,,,,
"Amarillo",2015,3,125.182050326,0.022856701,,,,,,
"Amarillo",2015,4,125.380938468,0.042257735,,,,,,
"Amarillo",2016,1,126.623326163,0.034956861,,,,,,
"Amarillo",2016,2,129.959663001,0.045224768,,,,,,
"Amarillo",2016,3,130.266099900,0.040613247,,,,,,
"Amarillo",2016,4,129.907548970,0.036102860,,,,,,
"Amarillo",2017,1,130.169144633,0.028002885,,,,,,
"Amarillo",2017,2,131.719648531,0.013542552,,,,,,
"Amarillo",2017,3,133.311008938,0.023374531,,,,,,
"Amarillo",2017,4,132.897769218,0.023018063,,,,,,
"Amarillo",2018,1,133.185121910,0.023169678,,,,,,
"Amarillo",2018,2,135.299960036,0.027181301,,,,,,
"Amarillo",2018,3,135.353650558,0.015322377,,,,,,
"Amarillo",2018,4,132.321487417,-0.004336278,,,,,,
"Amarillo",2019,1,135.924358453,0.020567136,,,,,,
"Amarillo",2019,2,138.536766359,0.023923187,,,,,,
"Amarillo",2019,3,138.677404718,0.024556073,,,,,,
"Amarillo",2019,4,137.978793643,0.042754252,,,,,,
"Amarillo",2020,1,139.486121688,0.026204009,,,,,,
"Amarillo",2020,2,142.148378199,0.026069699,,,,,,
"Austin-Round Rock",1999,1,100.000000000,,100.000000000,,100.000000000,,100.000000000,
"Austin-Round Rock",1999,2,103.564194247,,104.623104911,,102.990263789,,103.006429977,
"Austin-Round Rock",1999,3,105.788650711,,104.818674158,,106.396545188,,106.251950958,
"Austin-Round Rock",1999,4,106.862772000,,106.605196881,,106.953684142,,107.097373692,
"Austin-Round Rock",2000,1,110.855111979,0.108551119,109.213911507,0.092139115,110.796294920,0.107962949,112.178474020,0.121784740
"Austin-Round Rock",2000,2,116.794348776,0.127748346,115.266339295,0.101729291,116.537741400,0.131541342,118.358611253,0.149040999
"Austin-Round Rock",2000,3,121.260768300,0.146254985,119.138611712,0.136616282,119.842628718,0.126377068,124.162383639,0.168565682
"Austin-Round Rock",2000,4,123.701619052,0.157574492,124.019832870,0.163356351,122.606979478,0.146355831,124.277590064,0.160416785
"Austin-Round Rock",2001,1,126.179896914,0.138241571,126.550200298,0.158737001,126.073891214,0.137889054,125.550442201,0.119202621
"Austin-Round Rock",2001,2,127.775125442,0.094018047,130.622337532,0.133221878,127.076307916,0.090430502,125.209265276,0.057880486
"Austin-Round Rock",2001,3,126.577736937,0.043847393,129.515993090,0.087103427,126.067380672,0.051941049,123.817065703,-0.002781179
"Austin-Round Rock",2001,4,123.477998151,-0.001807744,128.288817049,0.034421786,123.574084948,0.007887850,118.671768478,-0.045107260
"Austin-Round Rock",2002,1,123.102924214,-0.024385601,128.530957477,0.015651948,123.867891611,-0.017497672,117.561925483,-0.063627945
"Austin-Round Rock",2002,2,125.182636908,-0.020289461,129.201058448,-0.010880827,124.430375211,-0.020821605,121.958951657,-0.025959050
"Austin-Round Rock",2002,3,124.861533756,-0.013558491,129.753882683,0.001836758,124.728080793,-0.010623682,120.368746445,-0.027850112
"Austin-Round Rock",2002,4,122.708737629,-0.006229940,126.524847658,-0.013749985,123.017664835,-0.004502724,118.838373163,0.001403911
"Austin-Round Rock",2003,1,122.435469957,-0.005421920,127.347984462,-0.009203798,121.565278342,-0.018589266,118.510799023,0.008071265
"Austin-Round Rock",2003,2,121.342877617,-0.030673257,125.107859211,-0.031680849,120.732915672,-0.029715087,118.341027764,-0.029665095
"Austin-Round Rock",2003,3,120.546936148,-0.034555058,124.022141111,-0.044173950,119.651229814,-0.040703352,117.982395534,-0.019825336
"Austin-Round Rock",2003,4,119.181445220,-0.028745242,120.846367486,-0.044880355,120.185516531,-0.023022289,116.621839744,-0.018651664
"Austin-Round Rock",2004,1,119.291683590,-0.025677088,118.750999520,-0.067507821,119.982058463,-0.013023619,119.026042703,0.004347651
"Austin-Round Rock",2004,2,121.468282587,0.001033476,121.877105929,-0.025823743,121.242171240,0.004218034,121.166487314,0.023875570
"Austin-Round Rock",2004,3,122.548400601,0.016603196,123.927401211,-0.000763895,122.370176094,0.022723930,121.096049898,0.026390838
"Austin-Round Rock",2004,4,122.903910217,0.031233595,122.833841609,0.016446287,123.433964258,0.027028612,122.159296000,0.047482154
"Austin-Round Rock",2005,1,123.801714108,0.037806747,124.209208061,0.045963474,123.690731133,0.030910227,123.133834764,0.034511708
"Austin-Round Rock",2005,2,126.725696171,0.043282192,127.539843433,0.046462684,125.242300040,0.032992883,127.127717764,0.049198673
"Austin-Round Rock",2005,3,128.966872959,0.052374998,129.115898355,0.041867231,128.443305901,0.049629166,129.035653467,0.065564513
"Austin-Round Rock",2005,4,130.454100702,0.061431653,130.953837232,0.066105525,129.600987568,0.049962126,130.655864135,0.069553185
"Austin-Round Rock",2006,1,132.451041496,0.069864358,133.096784018,0.071553277,131.188302617,0.060615467,132.953120553,0.079744822
"Austin-Round Rock",2006,2,135.838621011,0.071910631,135.901767033,0.065563226,135.001305334,0.077921000,136.347557019,0.072524225
"Austin-Round Rock",2006,3,137.846422837,0.068851400,137.733624158,0.066744110,136.866766057,0.065581153,138.802061837,0.075687673
"Austin-Round Rock",2006,4,138.451847656,0.061306980,138.437006555,0.057143566,137.721551496,0.062658194,139.084062087,0.064506847
"Austin-Round Rock",2007,1,140.698479863,0.062267825,139.936188923,0.051386702,139.978120498,0.067001536,141.910808971,0.067374788
"Austin-Round Rock",2007,2,144.993619088,0.067396135,145.425108769,0.070075186,143.875154426,0.065731579,145.667474565,0.068354121
"Austin-Round Rock",2007,3,145.747985147,0.057321489,145.742071126,0.058144458,144.905832518,0.058736439,146.521761882,0.055616609
"Austin-Round Rock",2007,4,144.248250959,0.041865842,145.327749705,0.049775297,143.037717570,0.038600829,144.291047787,0.037437687
"Austin-Round Rock",2008,1,143.814923666,0.022149804,145.536053911,0.040017275,143.133194776,0.022539767,142.800736254,0.006271032
"Austin-Round Rock",2008,2,145.991870812,0.006884797,147.997022623,0.017685486,144.968512533,0.007599353,145.334541825,-0.002285566
"Austin-Round Rock",2008,3,144.910512314,-0.005746033,146.837260372,0.007514571,144.309744430,-0.004113623,143.824506179,-0.018408567
"Austin-Round Rock",2008,4,141.470249078,-0.019258478,143.997543728,-0.009153145,140.567849911,-0.017267247,139.892195609,-0.030485967
"Austin-Round Rock",2009,1,139.850750626,-0.027564406,143.124532311,-0.016569925,140.118682137,-0.021060891,137.140645065,-0.039636288
"Austin-Round Rock",2009,2,142.165975353,-0.026206222,145.296172196,-0.018249356,142.346306070,-0.018088110,139.155493911,-0.042516031
"Austin-Round Rock",2009,3,142.738500411,-0.014988642,147.191558319,0.002412861,142.760977987,-0.010732237,138.610263385,-0.036254202
"Austin-Round Rock",2009,4,141.949879327,0.003390325,146.162839975,0.015037035,142.407600752,0.013087991,137.423465737,-0.017647373
"Austin-Round Rock",2010,1,141.787013695,0.013845210,145.811873077,0.018776241,141.463370541,0.009596781,138.742317713,0.011679051
"Austin-Round Rock",2010,2,142.440859667,0.001933545,145.681700996,0.002653399,142.299469006,-0.000329036,139.848449417,0.004979720
"Austin-Round Rock",2010,3,141.223155513,-0.010616231,143.569147486,-0.024610180,141.015114762,-0.012229274,139.694245276,0.007820358
"Austin-Round Rock",2010,4,138.374263499,-0.025189284,140.320991328,-0.039968083,138.033682973,-0.030714075,137.093550662,-0.002400718
"Austin-Round Rock",2011,1,138.539996065,-0.022900670,140.239179849,-0.038218377,137.869785352,-0.025402937,137.306828938,-0.010346437
"Austin-Round Rock",2011,2,139.945498251,-0.017518578,140.260174919,-0.037214873,139.560044747,-0.019251120,140.004252400,0.001114084
"Austin-Round Rock",2011,3,140.165162780,-0.007491637,141.519787494,-0.014274375,139.882192466,-0.008034048,139.303025680,-0.002800541
"Austin-Round Rock",2011,4,140.159947210,0.012904738,141.513647789,0.008499487,139.587165408,0.011254372,139.434641904,0.017076596
"Austin-Round Rock",2012,1,141.761879882,0.023255983,143.653756174,0.024348233,141.113298398,0.023525916,140.685047175,0.024603424
"Austin-Round Rock",2012,2,145.412952075,0.039068450,146.290513572,0.042993947,144.563185109,0.035849374,145.323617402,0.037994310
"Austin-Round Rock",2012,3,146.517847944,0.045322853,147.944806192,0.045400143,145.096165224,0.037274027,146.588739799,0.052301190
"Austin-Round Rock",2012,4,146.700610446,0.046665708,147.854428191,0.044806847,146.472509630,0.049326485,145.670269076,0.044720788
"Austin-Round Rock",2013,1,150.290900719,0.060164416,151.576508090,0.055151721,149.416889752,0.058843436,149.245343976,0.060847239
"Austin-Round Rock",2013,2,156.306274892,0.074913016,158.012745503,0.080129815,155.466789215,0.075424487,155.187511900,0.067875371
"Austin-Round Rock",2013,3,158.516517912,0.081892207,160.374147156,0.084013364,157.921585093,0.088392548,157.225792776,0.072563915
"Austin-Round Rock",2013,4,159.483954192,0.087138994,162.158883253,0.096746882,158.787342804,0.084076071,157.587446505,0.081809263
"Austin-Round Rock",2014,1,163.410674870,0.087295864,164.704005841,0.086606413,163.769331171,0.096056352,161.704165446,0.083478794
"Austin-Round Rock",2014,2,169.477972208,0.084268512,172.961726388,0.094606171,169.357454219,0.089348117,166.611144823,0.073611805
"Austin-Round Rock",2014,3,171.674493077,0.083006965,175.892489267,0.096763364,171.489495563,0.085915490,167.854963679,0.067604498
"Austin-Round Rock",2014,4,171.825514254,0.077384337,177.162119407,0.092521827,171.451314351,0.079754288,166.712178774,0.057902659
"Austin-Round Rock",2015,1,175.842526083,0.076077350,181.873074156,0.104241959,176.716994209,0.079060364,169.105580884,0.045771334
"Austin-Round Rock",2015,2,182.392205990,0.076200072,190.039945845,0.098739876,182.702595546,0.078798665,175.373128685,0.052589422
"Austin-Round Rock",2015,3,183.483407207,0.068786655,191.726517180,0.090021057,184.978415635,0.078657412,173.645045377,0.034494551
"Austin-Round Rock",2015,4,183.610367276,0.068586164,193.642969659,0.093026942,183.528182540,0.070439052,174.228402447,0.045085030
"Austin-Round Rock",2016,1,188.325071146,0.070987066,198.933614907,0.093804653,189.260184591,0.070978970,177.645732098,0.050501888
"Austin-Round Rock",2016,2,193.269369165,0.059636118,205.067599320,0.079076287,195.012021423,0.067374116,182.539962744,0.040866204
"Austin-Round Rock",2016,3,194.477856941,0.059920675,207.642640253,0.083014719,195.625908520,0.057560731,181.877423088,0.047409228
